date,1. open,2. high,3. low,4. close,5. volume
2023-05-15 16:00:00,190.4,190.4,190.34,190.4,2412.0
2023-05-15 15:59:00,190.36,190.36,190.36,190.36,259.0
2023-05-15 15:58:00,190.31,190.34,190.31,190.34,234.0
2023-05-15 15:57:00,190.29,190.31,190.29,190.29,727.0
2023-05-15 15:56:00,190.29,190.29,190.29,190.29,368.0
2023-05-15 15:55:00,190.37,190.37,190.37,190.37,111.0
2023-05-15 15:50:00,190.34,190.37,190.34,190.3561,547.0
2023-05-15 15:49:00,190.35,190.35,190.35,190.35,159.0
2023-05-15 15:48:00,190.35,190.36,190.35,190.36,201.0
2023-05-15 15:46:00,190.3322,190.3322,190.3322,190.3322,132.0
2023-05-15 15:44:00,190.36,190.36,190.36,190.36,167.0
2023-05-15 15:42:00,190.4633,190.4633,190.41,190.41,742.0
2023-05-15 15:41:00,190.47,190.47,190.47,190.47,394.0
2023-05-15 15:40:00,190.465,190.465,190.465,190.465,202.0
2023-05-15 15:38:00,190.45,190.45,190.45,190.45,321.0
2023-05-15 15:34:00,190.51,190.53,190.51,190.53,414.0
2023-05-15 15:33:00,190.51,190.51,190.51,190.51,219.0
2023-05-15 15:32:00,190.43,190.43,190.43,190.43,231.0
2023-05-15 15:31:00,190.41,190.41,190.38,190.38,898.0
2023-05-15 15:28:00,190.43,190.435,190.43,190.435,598.0
2023-05-15 15:23:00,190.44,190.44,190.44,190.44,1483.0
2023-05-15 15:22:00,190.44,190.44,190.44,190.44,272.0
2023-05-15 15:20:00,190.4,190.4,190.4,190.4,411.0
2023-05-15 15:13:00,190.44,190.44,190.39,190.39,1723.0
2023-05-15 15:12:00,190.42,190.42,190.42,190.42,291.0
2023-05-15 15:07:00,190.35,190.37,190.35,190.37,352.0
2023-05-15 15:04:00,190.35,190.35,190.35,190.35,146.0
2023-05-15 14:58:00,190.25,190.25,190.25,190.25,237.0
2023-05-15 14:57:00,190.28,190.28,190.28,190.28,100.0
2023-05-15 14:56:00,190.3063,190.3063,190.3063,190.3063,389.0
2023-05-15 14:53:00,190.3,190.3,190.3,190.3,195.0
2023-05-15 14:52:00,190.33,190.33,190.33,190.33,143.0
2023-05-15 14:49:00,190.3615,190.3615,190.3615,190.3615,303.0
2023-05-15 14:48:00,190.38,190.38,190.38,190.38,149.0
2023-05-15 14:46:00,190.37,190.38,190.35,190.36,1268.0
2023-05-15 14:44:00,190.305,190.305,190.305,190.305,440.0
2023-05-15 14:43:00,190.3299,190.3299,190.3299,190.3299,171.0
2023-05-15 14:39:00,190.27,190.27,190.27,190.27,100.0
2023-05-15 14:38:00,190.31,190.31,190.31,190.31,106.0
2023-05-15 14:34:00,190.24,190.24,190.24,190.24,167.0
2023-05-15 14:33:00,190.23,190.25,190.23,190.25,402.0
2023-05-15 14:32:00,190.23,190.23,190.23,190.23,187.0
2023-05-15 14:30:00,190.2799,190.2799,190.2799,190.2799,119.0
2023-05-15 14:26:00,190.2269,190.28,190.2269,190.28,362.0
2023-05-15 14:23:00,190.31,190.31,190.31,190.31,142.0
2023-05-15 14:18:00,190.26,190.26,190.2401,190.26,623.0
2023-05-15 14:17:00,190.28,190.28,190.21,190.22,9871.0
2023-05-15 14:12:00,190.4,190.4,190.4,190.4,104.0
2023-05-15 14:11:00,190.35,190.35,190.35,190.35,102.0
2023-05-15 14:10:00,190.37,190.37,190.37,190.37,162.0
2023-05-15 14:08:00,190.308,190.34,190.308,190.34,403.0
2023-05-15 14:06:00,190.29,190.29,190.29,190.29,476.0
2023-05-15 14:02:00,190.33,190.33,190.33,190.33,195.0
2023-05-15 14:00:00,190.24,190.24,190.24,190.24,108.0
2023-05-15 13:59:00,190.25,190.25,190.25,190.25,293.0
2023-05-15 13:58:00,190.23,190.23,190.23,190.23,222.0
2023-05-15 13:49:00,189.92,189.94,189.92,189.94,231.0
2023-05-15 13:44:00,189.95,189.95,189.95,189.95,105.0
2023-05-15 13:43:00,189.98,189.98,189.97,189.97,331.0
2023-05-15 13:42:00,190.06,190.06,190.06,190.06,219.0
2023-05-15 13:41:00,190.1044,190.1044,190.1044,190.1044,139.0
2023-05-15 13:37:00,190.13,190.13,190.13,190.13,413.0
2023-05-15 13:36:00,190.18,190.18,190.18,190.18,104.0
2023-05-15 13:30:00,190.29,190.29,190.17,190.18,7002.0
2023-05-15 13:28:00,190.36,190.36,190.28,190.31,1934.0
2023-05-15 13:24:00,190.4416,190.4416,190.4416,190.4416,111.0
2023-05-15 13:23:00,190.46,190.46,190.46,190.46,113.0
2023-05-15 13:18:00,190.64,190.64,190.63,190.63,263.0
2023-05-15 13:17:00,190.6396,190.6396,190.6396,190.6396,118.0
